"TOA5","ExampleSite","CR3000","8675","OS32","EddyFlux.CR3"
"TIMESTAMP","RECORD","Ux","Uy","Uz","T_SONIC","CO2_density","H2O_density"
"TS","","m/s","m/s","m/s","C","mg/m^3","g/m^3"
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-07-15 12:00:00.000",0,5.0708,0.1187,-0.0768,24.5931,753.0799,12.5645
"2024-07-15 12:00:00.050",1,3.9430,0.0320,-0.1237,25.3253,753.7163,12.2716
"2024-07-15 12:00:00.100",2,3.6672,0.2464,0.0175,25.1093,754.3571,12.1118
"2024-07-15 12:00:00.150",3,4.3395,0.2135,0.0434,25.3156,742.7142,11.8402
"2024-07-15 12:00:00.200",4,3.7648,0.0722,-0.0413,25.7475,745.6708,12.4841
"2024-07-15 12:00:00.250",5,3.1586,0.1330,0.0244,25.2931,753.5561,12.3967
"2024-07-15 12:00:00.300",6,3.8256,0.1075,0.1287,24.9043,743.6216,11.4334
"2024-07-15 12:00:00.350",7,3.5403,0.2994,0.0214,25.3452,747.8637,12.0793
"2024-07-15 12:00:00.400",8,4.3128,0.1381,0.0685,24.6690,748.1847,11.8091
"2024-07-15 12:00:00.450",9,3.4021,0.2974,-0.0704,25.0062,752.4037,12.2233
"2024-07-15 12:00:00.500",10,4.3327,0.1803,-0.0635,24.9601,741.5633,11.2764
"2024-07-15 12:00:00.550",11,3.3387,0.0006,0.0600,24.5473,748.1092,12.6496
"2024-07-15 12:00:00.600",12,3.8219,0.3475,-0.1400,24.8973,745.2499,11.8305
"2024-07-15 12:00:00.650",13,4.4202,-0.1455,0.0652,25.1189,747.0293,11.2770
"2024-07-15 12:00:00.700",14,4.0361,0.0941,0.0349,25.0109,758.0089,11.8803
"2024-07-15 12:00:00.750",15,3.4883,0.2359,0.0330,25.6796,754.1756,12.1784
"2024-07-15 12:00:00.800",16,4.7317,-0.0378,-0.0960,24.5367,748.0510,11.3117
"2024-07-15 12:00:00.850",17,4.3176,0.1556,-0.2206,24.4922,751.5676,12.4191
"2024-07-15 12:00:00.900",18,4.9984,0.7828,0.0622,24.5052,739.3398,12.1339
"2024-07-15 12:00:00.950",19,3.5935,0.1169,-0.0918,24.9296,755.3299,12.0785
"2024-07-15 12:00:01.000",20,3.9207,-0.0071,-0.2512,24.7568,749.7311,12.8840
"2024-07-15 12:00:01.050",21,4.0651,0.3965,-0.0749,24.4075,745.1744,11.6374
"2024-07-15 12:00:01.100",22,5.0642,0.0357,0.1258,24.5485,754.6579,12.1925
"2024-07-15 12:00:01.150",23,3.9217,0.1918,-0.0982,25.2230,747.7251,11.3872
"2024-07-15 12:00:01.200",24,3.3610,0.2345,0.2369,25.0800,749.4068,12.1429
"2024-07-15 12:00:01.250",25,4.6530,0.2439,-0.0616,25.5531,752.1438,12.7679
